position,company,location,salary,summary
Medical Image Analysis / Machine Learning Intern,Intuitive Surgical,"Sunnyvale, CA",,Are you passionate about applying state-of-the-art Deep Learning and Machine Learning techniques on Medical Image Analysis and be on the fast track to benefit...
"Machine Learning Engineer, Amazon AI","Amazon Web Services, Inc.","Palo Alto, CA",,"You will gain hands on experience with Amazon’s heterogeneous speech, text, and structured data sources, and large-scale computing resources to accelerate..."
Machine Learning Engineer (REF 20170417JK),"Striim, Inc.","Palo Alto, CA",,"Unsupervised learning, inference, data mining, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar...."
Machine Learning Research Scientist,Paypal,"San Jose, CA",,Prior work experience with big data preferred. The AI & Machine Learning R&D Team in PayPal is looking for talented applied research scientist to work on deep...
Senior Data Scientist,Intapp,"Palo Alto, CA",,"Senior Data Scientist. Help build and lead a small team of Data Scientists. In this cross-functional role, you will be the first Data Scientist at our..."
Senior Data Scientist,MachineZone,"Palo Alto, CA",,"Proficient with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning /..."
Machine Learning Engineer,AISense,"Los Altos, CA",,AISense is adding new life to conversations of all types. Our Ambient Voice Intelligence™ technology processes verbal conversations to derive usable text and...
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"Silicon Valley, CA",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"Silicon Valley, CA",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
Sr Data Scientist,Tesla Motors,"Fremont, CA",,"Experience with big data frameworks such as Hadoop/Spark and SQL. Design and implement big data workflows using Python, SQL, Hadoop, Spark, Matlab and R...."
Machine Learning Software Engineer Intern,Raytheon,"Sunnyvale, CA",,"Raytheon Applied Signal Technology has a need for a Software Engineering Intern to help design, build, test, and maintain machine learning software for the..."
Deep Learning Software Engineer,Bosch Group,"Palo Alto, CA",,"Collaborate with other data scientist and data engineers to design, prioritize and implement new features for our AI platform to solve real customer problems...."
Medical Image Analysis / Machine Learning Intern,Intuitive Surgical,"Sunnyvale, CA",,Are you passionate about applying state-of-the-art Deep Learning and Machine Learning techniques on Medical Image Analysis and be on the fast track to benefit...
MACHINE LEARNING (and in particular DEEP LEARNING) ENGINEER,"GRAIL, Inc.","Menlo Park, CA",,"Experience with next generation sequencing data analysis (DNA, RNA, or epigenetic analysis.). Largely without exception these breakthroughs have been enabled by..."
Quantitative Research Analyst – Fixed Income - Credit,Franklin Templeton Investments,"San Mateo, CA 94403 (Sugerloaf area)",,Using attribution data to provide feedback to current strategies. Quantitative Research Analyst – Fixed Income - Credit-820026....
Business Analyst,McAfee,"Santa Clara, CA 95054",,"You can be an architect, scientist , threat researcher, or a coder as long as you design things that matters...."
Machine learning and Data Analytics Researcher,ABB,"San Jose, CA 95134 (North San Jose area)",,"Join us, a better world begins with you!Our R&D center in San Jose, CA, with focus on technology and product development for business unit Robotics and welcomes..."
"Research Analyst, Tech and Startups",Singularity University,"Mountain View, CA 94035",,"At two years of direct experience in market research, data analysis, or professional services consulting. The Research Analyst ensures that the most accurate..."
Battery Materials Research Scientist- Canada,Tesla Motors,"Palo Alto, CA",,We are looking for a highly skilled research scientist with a background in materials development and electrochemistry....
Data Engineer,ViaSat,"San Jose, CA",,"As a software engineer, you'll build the systems and tools that the data scientists use to perform their analysis...."
Machine Learning Data Visualization,KLA-Tencor,"Milpitas, CA 95035",,"Responsibility will include the development of the front end of our web based, service oriented application that requires persistence, processing and..."
Computer Vision Scientist/Engineer,Tesla Motors,"Palo Alto, CA",,"Experience with data science tools including Python scripting, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks, bash scripting, Linux environment...."
Senior Data Scientist,SAP,"Palo Alto, CA",,"Data Scientist - SAP Innovation Center Network. As a Data Scientist, you will work in a team of experience experienced researchers and data scientists taking on..."
"Platform Engineer, Fleet Analytics",Tesla Motors,"Palo Alto, CA",,Work with data engineers and data scientists to drive adoption of the platform. Have built and optimized Hadoop-based data platforms....
Research & Development Scientist and Engineer 2,Stanford University,"Stanford, CA 94305",,The position involves working with a team of data scientists and engineers to examine pressing issues in public policy....
Senior Data Scientist/Neural Network Analyst-TS/SCI,NT Concepts,"Mountain View, CA",,"We’re on the lookout for a Senior Data Scientist / Neural Network Analyst to join our bi-coastal team working in Vienna, VA and Mountainview, CA, to fill a..."
Senior Managing Data Scientist,Maxim Integrated,"San Jose, CA 95131 (North Valley area)",,The Senior Managing Data Scientist is a senior technical and leadership position within the corporate Advanced Analytics team....
"Director of Product Marketing, Machine Learning",ServiceNow,"Santa Clara, CA 95054",,"Director of Product Marketing, Machine Learning Santa Clara, CA This position reports to: Senior Director of Product Marketing ServiceNow is changing the way..."
Senior Scientist,"Pharmacyclics, LLC","Sunnyvale, CA",,Must be able to make recommendations based on sound logic and data analysis which contribute toward key decisions....
Senior Scientist,Cepheid,"Sunnyvale, CA",,Present data at technical meetings. Experienced in interpreting and analyzing large scale experimental data as well as results from clinical trials....
Life Science Research Professional 2,Stanford University,"Stanford, CA 94305",,Comprehensive understanding of scientific principles including how to interpret behavioral and histologic data....
