position,company,location,salary,summary
CLS I - FT/Varied/8hrs - OCGMC,"Integrated Healthcare Holdings, Inc.","Santa Ana, CA",,"CA license as a Clinical Laboratory Scientist. Inputs data and retrieves reports from computer as necessary. Under limited supervision, collects specimens and..."
Business Analyst,ZestFinance,"Los Angeles, CA",,Work closely with our team of data scientists who build machine learning models; Applies its unique credit-decisioning technology platform — based on data...
Analyst,Riot Games,"Los Angeles, CA",,"As an Analyst, you’ll join the Insights discipline – the group of researchers, analysts, data scientists and strategists responsible for solving problems and..."
Research and Data Processing Analyst,Los Angeles Universal Preschool,"Los Angeles, CA",,"Coordinate, conduct, and oversee data collection, data entry and data cleaning and ensure quality control (e.g., surveys, direct assessment, observations,..."
Principal Scientist – Cell Based Assays,Nitto Avecia Pharma Services,"Irvine, CA 92618",,"Perform data analysis and review. The Principal Scientist, experienced in cell-based potency assays, leads method development, validation, as well as GMP..."
Operations Research Analyst,Southern California Gas Company,"Los Angeles, CA",,"Write software, set up functions, enter data, or process information. Define data requirements and gather and validate information, applying judgment and..."
Manager - Product & Data Analysis,J.D. Power,"Costa Mesa, CA",,"This role willensure effective implementation of data processing systems, including assistingin developing data documentation, monitoring and testing data..."
"Quantitative Analyst, Health Research Microsimulation",USC,"Los Angeles, CA",,"Manages large data files. Experience with large administrative databases, survey data, claims data, electronic health records data Demonstrated creativity and..."
Lead Laboratory Assistant,Foothill Regional Medical Center,"Tustin, CA 92780",,Monitors daily Quality Control Data. Submits monthly Quality Control data to Quality Assurance programs. Current Clinical Laboratory Scientist License in the...
Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Chinese Speaking Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
"Director, Data Science",ZestFinance,"Los Angeles, CA",,"3+ years managing a team of data scientists. Lead a team of 10+ data scientists in developing high-quality, robust predictive algorithms...."
"Research Analyst, Institutional Planning and Research, Doheny Campus",Mount Saint Mary's University,"Los Angeles, CA",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
"Manager, Machine Learning Modeler / Data Scientist",ZestFinance,"Los Angeles, CA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
CLS I - FT/Varied/8hrs - OCGMC,"Integrated Healthcare Holdings, Inc.","Santa Ana, CA",,"CA license as a Clinical Laboratory Scientist. Inputs data and retrieves reports from computer as necessary. Under limited supervision, collects specimens and..."
Processing Scientist,Emcore,"Alhambra, CA 91803",,"Analyze data using statistical process control, and establish metrics to characterize performance of the developed processes...."
Director of Data & Analytics,Joybird,"Commerce, CA",,3+ years experience in an analytical role or as a Data Analyst or Data Scientist. The Joybird data & analytics team enables tactical and strategic business...
Manager - Product & Data Analysis,J.D. Power,"Costa Mesa, CA",,"This role willensure effective implementation of data processing systems, including assistingin developing data documentation, monitoring and testing data..."
Head of Data Science,FabFitFun,"Los Angeles, CA",,"Solid understanding of the Data Scientist project lifecycle processes including:. Continuously refine the set of priorities for a team of Data Scientists, Data..."
"Manager, Machine Learning Modeler / Data Scientist",ZestFinance,"Los Angeles, CA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
Processing Scientist,Emcore,"Alhambra, CA 91803",,"Analyze data using statistical process control, and establish metrics to characterize performance of the developed processes...."
Specialist series - Junior or Assistant Rank,The Regents of the University of California,"Irvine, CA",,Part-time position (20%) as a medical imaging data scientist with a particular focus on deep learning convolutional neural networks....
Senior Environmental Scientist-CAC,Terracon,"Tustin, CA",,"Ability to make recommendations for conceptual designs based on technical data. Experienced in evaluating, and synthesizing complex laboratory and field data,..."
"Manager, Data Scientist",KPMG,"Irvine, CA 92618",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Head of Data Science,FabFitFun,"Los Angeles, CA",,"Solid understanding of the Data Scientist project lifecycle processes including:. Continuously refine the set of priorities for a team of Data Scientists, Data..."
"Clinical Lab Scientist - Blood Bank - Part Time, Nights, 8 Hours",St. Joseph Health,"Orange, CA",,"Employee engagementRetrieving data. Job SummaryUnder the direction of a Supervisor, the Clinical Laboratory Scientist (CLS) utilizes professional knowledge,..."
Research Associate I (cancer and immunology),Sanford Burnham Prebys Medical Discovery Institute,"Los Angeles, CA",,"Work with a team of scientists to plan, execute and interpret protein production protocols, biophysical experiments, use of software to use structural data to..."
Artificial Intelligence & Data Scientist,Twentieth Century Fox,"Los Angeles, CA",,"1-3+ years of experience as data scientist. Experience in data ingestion, data cleaning, prototyping, bringing prototypes to production, product design, setting..."
"Data Scientist, Revenue Analytics",Snap Inc.,"Los Angeles, CA",,"We’re looking for a Data Scientist to join Team Snapchat! Apply your expertise in quantitative analysis, data mining, and presenting data to identify and convey..."
Data Scientist / Data Analyst,Hyperloop One,"Los Angeles, CA",,"The Data Scientist / Data Analyst will be part of Machine Intelligence & Analytics Group, within the Software Engineering Division...."
"Manager, Data Scientist",KPMG,"Irvine, CA 92618",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Research Assistant Professor (Bioinformatician),USC,"Los Angeles, CA",,Proficiency in large-scale genomic data analysis and a good understanding of biological systems are required....
"Senior Consultant, Advanced Analytics",Fractal Analytics,"Los Angeles, CA",,"Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL/ data flow process, data quality and data base management...."
Senior Environmental Scientist-CAC,Terracon,"Tustin, CA",,"Ability to make recommendations for conceptual designs based on technical data. Experienced in evaluating, and synthesizing complex laboratory and field data,..."
"Budget/Business Analyst, Hamovitch Research Administration Center",USC,"Los Angeles, CA",,"The mission of the USC Suzanne Dworak-Peck School of Social Work is to improve the well-being of vulnerable individuals and communities, advance social and..."
Postdoctoral Scholar Research Associate,USC,"Los Angeles, CA","$48,000 - $70,000 a year","The candidate will work in close collaboration with center members as well as industry partners both on technical aspects (method development, data analysis) as..."
Scientist,Physical Optics,"Torrance, CA",,"A fast-growing Southern California high-tech company specializing in military defense, homeland security, and energy solutions is seeking a hand-on Scientist..."
Marketing Data Consultant,"Neustar, Inc.","Los Angeles, CA",,"Manage data collection from clients, data review and quality checks of incoming data to ensure high quality data is used in database processing...."
Financial Data Scientist,Verity Business Services,"Los Angeles, CA",,The primary function of the data scientist is to automate current manual financial and operational reporting....
GIS Professional,"Geosyntec Consultants, Inc.","Huntington Beach, CA 92648",,"Collect, manipulate, and analyze GIS data; Experience with the front-end processes of collecting field data with various GPS units and the process of..."
Marketing Data Consultant,"Neustar, Inc.","Los Angeles, CA",,"Manage data collection from clients, data review and quality checks of incoming data to ensure high quality data is used in database processing...."
Bioinformatics Scientist I,Ambry Genetics,"Aliso Viejo, CA",,Strong skills in the application of statistical methods for analysis of genetic data. The main responsibilities include curating and analyzing Next-gen...
CLS III - FT/Days/8hrs - OCGMC,"Integrated Healthcare Holdings, Inc.","Santa Ana, CA",,"CA license as a Clinical Laboratory Scientist. Inputs data and retrieves reports from computer as necessary. Under limited supervision, collects specimens and..."
CLS III - FT/Days/8hrs,"Integrated Healthcare Holdings, Inc.","Santa Ana, CA",,"CA license as a Clinical Laboratory Scientist. Inputs data and retrieves reports from computer as necessary. Under limited supervision, collects specimens and..."
Data Analysis Manager,Bank of Hope,"Los Angeles, CA",,Support the data gathering and population framework necessary for DFAST Reporting (FR Y-16). Execute and maintain production and delivery of various...
Automotive Account Analyst,J.D. Power,"Costa Mesa, CA",,"Demonstrated data analysis and client service skills required. 2-5 years’ experience in account management, data analysis and/or client service...."
Device Scientist,Emcore,"Alhambra, CA 91803",,"And manufacture optical components, subsystems and systems that enable the transmission of video, voice, and data over high-capacity fiber optic links for a..."
Campaign Operations Specialist,Joybird,"Commerce, CA",,"Flex / change / adapt to real-time data and information What we're looking for:. Comfortable with data / analytics and interested in learning more (e.g., excel,..."
"Sr Associate, Data Scientist AI",KPMG,"Los Angeles, CA 90071",,"KPMG is currently seeking a Data Scientist, NLP to join our Advanced Data Analytics team. Experience with command-line scripting, data structures and algorithms..."
"Lab Scientist, Engineer",Shire Pharmaceuticals,"Los Angeles, CA 90079",,"Utilize robust statistical analysis to draw appropriate conclusions from the data. This position is responsible for executing process development projects,..."
Campaign Operations Specialist,Joybird,"Commerce, CA",,"Flex / change / adapt to real-time data and information What we're looking for:. Comfortable with data / analytics and interested in learning more (e.g., excel,..."
Data Scientist - Optimization,KPMG,"Los Angeles, CA 90071",,"Perform explanatory data analysis, generate and test working hypothesis, prepare and analyze historical data and identify patterns...."
Scientist I,"Eurofins Analytical Laboratories, Inc.","Monrovia, CA",,"Performing data process, data entry and written documentation. Scientist I responsibilities include, but are not limited to, the following :...."
Scientist I,"Eurofins Eaton Analytical, Inc.","Monrovia, CA",,"Ability to understand the application of data qualifiers. Scientist I responsibilities include, but are not limited to, the following :...."
Data Scientist - IMT,Azusa Pacific University,"Azusa, CA",,"Data warehouse or data mart. Advanced data analysis skills. Data modeling, preferably for a higher education institution...."
Data Scientist - Energy Procurement (EMS4),Edison International,"Rosemead, CA",,"In-depth understanding of data analytics, data engineering, and data management processes. Develop procedures and data pipelines to extract and prepare large..."
Data Scientist - Energy Procurement,Southern California Edison,"Rosemead, CA",,"In-depth understanding of data analytics, data engineering, and data management processes. Develop procedures and data pipelines to extract and prepare large..."
Automotive Account Analyst,J.D. Power,"Costa Mesa, CA",,"Demonstrated data analysis and client service skills required. 2-5 years’ experience in account management, data analysis and/or client service...."
Bioinformatics Scientist,Synthetic Genomics,"Los Angeles, CA",,"Proficiency in working with databases and data management platforms (ex. Experience in NGS data analysis, including algorithm development, genome and metagenome..."
Engineering Leadership - Data Engineering,Riot Games,"Los Angeles, CA",,"Lead software engineers, data scientists and data analysts in order to deliver on product vision. You're able to lead a team through an ambiguous problem space..."
Entry Level Geologist or Scientist,Arcadis,"Irvine, CA",,"Field data collection, analysis, and interpretation. Conducting project related research (historical data, regulations, etc.)...."
Machine Learning Using R Instructor,UCLA Extension,"Los Angeles, CA","$2,650 a month","Course disciplines cybersecurity, data science and applications programming subject areas. This field is made possible due to the rapid and simultaneous..."
CLS III - FT/Days/8hrs - OCGMC,"Integrated Healthcare Holdings, Inc.","Santa Ana, CA",,"CA license as a Clinical Laboratory Scientist. Inputs data and retrieves reports from computer as necessary. Under limited supervision, collects specimens and..."
CLS III - FT/Days/8hrs,"Integrated Healthcare Holdings, Inc.","Santa Ana, CA",,"CA license as a Clinical Laboratory Scientist. Inputs data and retrieves reports from computer as necessary. Under limited supervision, collects specimens and..."
Data Architect - Scientist,Twentieth Century Fox,"Los Angeles, CA",,"Drives the data architecture, development and application of Master Data capabilities. Experience in established and emerging data technologies, established..."
"Insights Analyst Intern, Graduate/MBA, Summer 2018",Riot Games,"Los Angeles, CA",,"As an Analyst Intern (MBA), you'll join the Insights discipline – the group of researchers, analysts, data scientists and strategists responsible for solving..."
Operations and RMDC Analyst,Harris IT Services,"Monrovia, CA",,"Processing real-time spacecraft tracking data to include the sorting, merging, editing, correcting (configuration data), gap filling, calibrating (range data),..."
2017,Allscripts,"Whittier, CA",,"Recommend methods to collect, analyse and manage data to improve data quality and effectiveness of data systems...."
Senior Market Research Analyst,Auto Club of Southern California,"Costa Mesa, CA 92626",,"Pulling data from various sources, analyzing the data and communicating findings, identifying trends, and making recommendations...."
Entry Level Geologist or Scientist,Arcadis,"Irvine, CA",,"Field data collection, analysis, and interpretation. Conducting project related research (historical data, regulations, etc.)...."
Staff Geologist,Terracon,"Tustin, CA",,"Interpret soil, bedrock and groundwater elevation and quality data. Performs site visits, field observations and field data collection or assignments...."
Communications Manager,USC,"Los Angeles, CA",,"Serve as the primary point of contact for internal and external scientists. The group also maintains data archival storage on the order of petabytes, and..."
Systems Engineer II,Beckman Coulter - Diagnostics,"Brea, CA",,Scientists use our life science research. Do you have a passion for data? Acquire data from test subjects using sensors (e.g....
Operations and RMDC Analyst,Harris IT Services,"Monrovia, CA",,"Processing real-time spacecraft tracking data to include the sorting, merging, editing, correcting (configuration data), gap filling, calibrating (range data),..."
Software Engineer,Smarkets,"Los Angeles, CA","Estimated salary: $145,000 - $184,000 a year","Solid knowledge of data structures and algorithms. Come join former financial and adtech engineers, researchers, scientists, and PhDs at one of the most dynamic..."
Lead Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Data Engineers, Data Scientists, Scientific Modelers and Programmers as well Geospatial Analysts are the core of the new Analytics Solutions service...."
Senior Material Characterization Scientist,"Ostendo Technologies, Inc.","Walnut, CA",,"Responsible for GaN related materials characterization, statistical data analysis and failure analysis to support assigned projects, work closely with MOCVD..."
Research Specialist II,CEDARS-SINAI,"Los Angeles, CA",,Operates lab computers for data entry and maintains accurate data records. Expertise in translational trial data analysis....
Manufacturing Scientist,Shire Pharmaceuticals,"Los Angeles, CA 90079",,"Utilize robust statistical analysis to draw appropriate conclusions from the data. Support event investigations, regulatory filings, and daily operations in the..."
Front-end Software Engineer,Smarkets,"Los Angeles, CA",,"Come join former financial and adtech engineers, researchers, scientists, and PhDs at one of the most dynamic workforces in Europe...."
HUMAN RESOURCES ANALYST III - TEST RESEARCH,Los Angeles County Department of Human Resources,"Los Angeles, CA","$78,525 - $102,985 a year","A multiple choice test measuring quantitative problem solving, reading comprehension, reasoning, and data interpretation...."
Staff Regulatory Affairs,Beckman Coulter - Diagnostics,"Brea, CA",,Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....
Expert,The Boston Consulting Group,"Los Angeles, CA",,"Experience with Big Data and Fast Data (i.e.:. Experience with big data environments a plus:. Proven deep expertise in the fields of machine learning, big data,..."
Staff Geologist,Terracon,"Tustin, CA",,"Interpret soil, bedrock and groundwater elevation and quality data. Performs site visits, field observations and field data collection or assignments...."
Associate RF Engineer,Physical Optics,"Torrance, CA",,"Provide supporting documentation in terms of data analysis, and reporting in accordance with project team objectives, requirements and schedules ...."
Systems Engineer II,Beckman Coulter - Diagnostics,"Brea, CA",,Scientists use our life science research. Do you have a passion for data? Acquire data from test subjects using sensors (e.g....
Marketing Assistant - Architecture,HDR,"Los Angeles, CA 90017",,And data entry for Client Relationship Management (CRM) system. We create an unshakable foundation for progress because our multidisciplinary teams also include...
