position,company,location,salary,summary
Engineer I - Data Strategist (662144),Ball Aerospace,"Broomfield, CO",,"Technical data sourcing, management, and analysis. Open source data sourcing, management, and analysis. Our team of more than 3,000 engineers, scientists,..."
CdTe Thin-Film Materials Processing Technician,National Renewable Energy Laboratory,"Golden, CO",,Performing work reproducibly with high degree of quality and reliability Recording data in computer databases ....
Roofing & Waterproofing Consultant - Denver,"Wiss, Janney, Elstner Associates","Denver, CO",,"Ability to record data clearly and write passages for reports, letters, etc. Wiss, Janney, Elstner Associates is a global firm of engineers, architects, and..."
Clinical Laboratory Scientist I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,"Performs error correction, photocopy and data entry and compilation as required. Collects and organizes data before initiating analysis and asks questions to..."
Postdoctoral Fellow,University of Colorado,"Aurora, CO",,"Lead and organize data acquisition and analysis. The Proenza lab in the Department of Physiology and Biophysics and the Department of Medicine, Division of..."
Prospect Research and Data Analyst,Nurse Family Partnership,"Denver, CO 80203 (Capitol Hill area)",,"This position will ensure that frontline fundraisers on our regional, institutional, and individual giving teams have the data and information that they need to..."
Engineer I - Data Strategist (662144),Ball Aerospace,"Broomfield, CO",,"Technical data sourcing, management, and analysis. Open source data sourcing, management, and analysis. Our team of more than 3,000 engineers, scientists,..."
"Sr App Dev, Dynamic Exp.",Spectrum,"Greenwood Village, CO",,"Software architects, web application engineers, big data scientists, operation engineers, and various entities from network security...."
"Software Engineer, VIPER",Comcast,"Denver, CO 80202 (Lodo area)",,"Software architects, network engineers, big data scientists, player developers, content security specialists, and various streaming video technologists...."
Predictive Modeling Analyst,Vencore,"Aurora, CO",,"Ability to analyze multiple data sets and to present cohesive analysis findings. Vencore is a proven provider of information solutions, engineering and..."
D2V Scholar,University of Colorado,"Aurora, CO",,"Additionally, scholars will have theopportunity to engage in existing CU programs, providing unique experiences in scientific research areas including..."
"Manager, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
