position,company,location,salary,summary
Propulsion Analysis Engineer Undergraduate Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Analyzes propulsion system test and flight data. Experience and/or course work in analyzing large data sets....
Machine Learning Engineer,Oben,"Pasadena, CA",,"As a member of the machine language translation team, you utilize your superior technical aptitude and deep understanding of Machine Learning and Natural..."
Research Associate I (cancer and immunology),Sanford Burnham Prebys Medical Discovery Institute,"Los Angeles, CA",,"Work with a team of scientists to plan, execute and interpret protein production protocols, biophysical experiments, use of software to use structural data to..."
Artificial Intelligence & Data Scientist,Twentieth Century Fox,"Los Angeles, CA",,"1-3+ years of experience as data scientist. Experience in data ingestion, data cleaning, prototyping, bringing prototypes to production, product design, setting..."
"Data Scientist, Revenue Analytics",Snap Inc.,"Los Angeles, CA",,"We’re looking for a Data Scientist to join Team Snapchat! Apply your expertise in quantitative analysis, data mining, and presenting data to identify and convey..."
Research Bioinformatician I,CEDARS-SINAI,"Los Angeles, CA",,"Manages data including loading and querying data from database systems, downloading genomic data from public repositories, and transforming data to the..."
Radar Signal Processing Scientist,NeoHire South,"Santa Monica, CA",,"Radar Signal Processing Scientist. Experience in using radar raw I/Q data to estimate range, Doppler, and direction of arrival (DOA)...."
Data Scientist / Data Analyst,Hyperloop One,"Los Angeles, CA",,"The Data Scientist / Data Analyst will be part of Machine Intelligence & Analytics Group, within the Software Engineering Division...."
Research Assistant Professor (Bioinformatician),USC,"Los Angeles, CA",,Proficiency in large-scale genomic data analysis and a good understanding of biological systems are required....
"Senior Consultant, Advanced Analytics",Fractal Analytics,"Los Angeles, CA",,"Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL/ data flow process, data quality and data base management...."
Computer Vision Engineer,NeoHire South,"Santa Monica, CA",,Computer Vision Scientist. Excellent data visualization skills. Experience of working with video data sets; Genius Sports is seeking a computer vision expert...
"Senior Consultant, Advanced Analytics",Fractal Analytics,"Los Angeles, CA",,"Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL/ data flow process, data quality and data base management...."
Data Scientist,Kaiser Permanente,"Pasadena, CA",,Recommends and advocates for additional data and/or services needed to address key business issues related to process or solutions design....
Propulsion Analysis Engineer Undergraduate Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Analyzes propulsion system test and flight data. Experience and/or course work in analyzing large data sets....
"Budget/Business Analyst, Hamovitch Research Administration Center",USC,"Los Angeles, CA",,"The mission of the USC Suzanne Dworak-Peck School of Social Work is to improve the well-being of vulnerable individuals and communities, advance social and..."
Data Scientist (Python),Workbridge Associates,"Los Angeles, CA","$100,000 - $150,000 a year","This Data Scientist will be collaborating with the Lead Data Scientist to carry out research by using machine learning and computational statistics skills, and..."
Marketing Data Consultant,"Neustar, Inc.","Los Angeles, CA",,"Manage data collection from clients, data review and quality checks of incoming data to ensure high quality data is used in database processing...."
Financial Data Scientist,Verity Business Services,"Los Angeles, CA",,The primary function of the data scientist is to automate current manual financial and operational reporting....
Data Scientist Sales Engineer,Kolter Solutions,"Rancho Palos Verdes, CA 90275",,Data Scientist Sales Engineer. The Data Scientist will work closely with the Client's sales team to define and deliver compelling product demonstrations taking...
Data Analysis Manager,Bank of Hope,"Los Angeles, CA",,Support the data gathering and population framework necessary for DFAST Reporting (FR Y-16). Execute and maintain production and delivery of various...
Data Scientist,Grindr,"Los Angeles, CA 90046","Estimated salary: $114,000 - $146,000 a year",Experience building real-time data pipelines within high volume data environments. We have embedded analysts on the team - the Data Scientist will be the...
Market Research Analyst - Analyst Development Program,Ipsos North America,"Culver City, CA",,"Love data, consumer decision-making, and puzzles. Would you like to work with a team of passionate problem-solvers dedicated to bringing research insights and..."
"Sr Associate, Data Scientist AI",KPMG,"Los Angeles, CA 90071",,"KPMG is currently seeking a Data Scientist, NLP to join our Advanced Data Analytics team. Experience with command-line scripting, data structures and algorithms..."
"Sr Associate, Data Scientist",KPMG,"Los Angeles, CA 90071",,KPMG is currently seeking a Senior Associate Data Scientist to join our Advanced Data & Analytics Organization....
Data Scientist,AIG,"Woodland Hills, CA","Estimated salary: $87,000 - $111,000 a year","Understanding complex business challenges, designing scientific solutions, manipulating large data sets, using cutting edge machine learning or statistical..."
Data Scientist,Gorilla Logic,"Burbank, CA","Estimated salary: $113,000 - $144,000 a year","As the Manager of Data Science, you will play a key role in building out our client’s reporting capabilities and data strategy...."
Senior Data Scientist,Grindr,"Los Angeles, CA 90046",,Experience building real-time data pipelines within high volume data environments. We have embedded analysts on the team - the Senior Data Scientist will be the...
Data Infrastructure Engineer,"TrueCar, Inc.","Santa Monica, CA",,"Work with software engineers, data engineers, data scientists, and infrastructure engineers (DevOps) to help define, build, optimize, and support the..."
"Lab Scientist, Engineer",Shire Pharmaceuticals,"Los Angeles, CA 90079",,"Utilize robust statistical analysis to draw appropriate conclusions from the data. This position is responsible for executing process development projects,..."
DSP Subsystems/Algorithm Engineer,BOEING,"El Segundo, CA 90245",,Skilled scientists and thinkers. Experience with performance characteristics of analog electronics or data converters (ADCs / DACs)....
RESEARCH STAFF - Semiconductor Device Scientist,"HRL Laboratories, LLC","Malibu, CA 90265",,"Able to pursue difficult technical subjects independently, design experiment, analyze data, and provide solutions...."
Data Scientist - Optimization,KPMG,"Los Angeles, CA 90071",,"Perform explanatory data analysis, generate and test working hypothesis, prepare and analyze historical data and identify patterns...."
Data Scientist - Credit/Risk,Tala,"Santa Monica, CA",,"We need a Data Scientist interested in solving one of the world's largest problems:. Our Data Scientist work directly with Credit, Engineering, and Data Teams..."
Bioinformatics Scientist,Synthetic Genomics,"Los Angeles, CA",,"Proficiency in working with databases and data management platforms (ex. Experience in NGS data analysis, including algorithm development, genome and metagenome..."
Engineering Leadership - Data Engineering,Riot Games,"Los Angeles, CA",,"Lead software engineers, data scientists and data analysts in order to deliver on product vision. You're able to lead a team through an ambiguous problem space..."
Software Engineer Undergrad Intern,The Aerospace Corporation,"El Segundo, CA 90245",,"Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Bring fresh ideas from all areas, including distributed..."
"Director, Data Science",NBCUniversal,"Universal City, CA",,"Experience leading teams of data scientists or engineers. Driving the development of data models (i.e. Understanding of Big Data technologies (Cassandra, Spark,..."
"Scientist, Flow Cytometry","Kite Pharma, Inc.","Santa Monica, CA",,"Excellent skill in Microsoft word, Excel and flow cytometry data analysis. You will also be assisting in planning and executing laboratory studies, analyze..."
"Scientist, Microbiology","Kite Pharma, Inc.","Santa Monica, CA",,"Monitor and trend data. Strong data integrity knowledge and practices. Complete routine record review of test data and related documents for in-process testing,..."
