position,company,location,salary,summary
Senior Statistician,AstraZeneca,"Redwood City, CA 94065",,Collaborate with data management and clinical operations over the course of trials to provide statistical input to study conducts and database development as...
"BIOINFORMATICS SCIENTIST, RESEARCH AND TECHNOLOGY DEVELOPMENT","GRAIL, Inc.","Menlo Park, CA",,"Create statistical models to uncover hidden patterns in the data. Deep understanding of NGS assays and data, experience with advanced computational biology..."
Software Engineer - Artificial Intelligence & Machine Learning,Sizmek,"Redwood City, CA",,How do you use the rich data we have about users to make predictions? Sizmek’s technology platform supports a real-time bidding system that handles over 100...
Junior Research Analyst - Americas Consumer,McKinsey & Company,"San Jose, CA",,You will manage internal data and support in the codification of knowledge. Bachelor Degree completed from a respected institution with strong records of...
Sr. Staff Data Scientist,Intellipro Group Inc.,"Santa Clara, CA 95050",,"We are seeking a highly motivated data scientist to work on log analytics, anomaly detection, and causal analysis...."
Data Scientist (mid to senior level),Personal Capital,"San Carlos, CA 94070",,"5+ years of professional experience as a Data Scientist. Further, you will leverage large data sets and create ETL pipelines to support our Data Warehouse/Data..."
"Senior Applied Scientist, Marketing Analytics",MachineZone,"Palo Alto, CA",,The applied scientist role at MZ capitalizes upon the world's richest mobile marketing data to solve for a range of challenging and engrossing problems....
"Machine Learning Software Engineer, Building 8",Facebook,"Menlo Park, CA",,"(Menlo Park, CA) Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services..."
"Software Engineer, Machine Learning",Facebook,"Menlo Park, CA",,"Machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence. Develop highly scalable classifiers and tools leveraging..."
"Software Engineer, Machine Learning for Augmented Reality, Building 8",Facebook,"Menlo Park, CA",,"(Menlo Park, CA) Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services..."
Data Scientist,Teradata,"Santa Clara, CA",,Collaborate with data science team to evaluate model and data. Teradata is seeking an experienced data scientist to join the Technology & Innovation Office....
Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Data Scientist,Burgeon IT Services,"Sunnyvale, CA",,"Experience with data visualisation tools, such as D3.js, GGplot, etc. Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,..."
Data Scientist,Hewlett Packard Enterprise,"Santa Clara, CA",,Looking for a Data Scientist who can provide insights into data and help us build a better product! 6+ years Python or R development experience Excellent...
Data Scientist,NVIDIA,"Santa Clara, CA",,"Mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior...."
Data Scientist,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
Data Scientist,Huawei,"Santa Clara, CA",,"Help to evolve large scale Big Data platform and tools in all aspects, from data collection to data processing, exploration, visualization and modeling...."
"Platform Analyst, Research Operations ��� Business Integrity",Facebook,"Menlo Park, CA",,"Passionate about diving into the world of big data and trends analyses? (Menlo Park, CA)...."
Data Scientist,Siemens AG,"Foster City, CA",,The data scientist will support the growing analytical needs of the company as customer data collection efforts expand....
Data Scientist,Fanatics Inc.,"San Mateo, CA",,"Ability to use SQL to perform data analysis. At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies...."
Data Scientist,Rakuten Marketing,"San Mateo, CA",,"The company aggregates a lot of behavioral data from various sources. MS/ PhD in fields like computer science, mathematics, statistics, machine learning,..."
Data Scientist,SignalFx,"San Mateo, CA 94401 (North Central area)",,2+ years of data science experience (or academic equivalent). Interest in data visualization and UX aspects of analytics/machine learning....
Data Scientist,LimeBike,"San Mateo, CA",,"As a data scientist, you will proactively gather data to transform signal into insight. 2+ years in an analyst, data scientist, or product manager role...."
"Director of Product Marketing, Machine Learning",ServiceNow,"Santa Clara, CA 95054",,"Director of Product Marketing, Machine Learning Santa Clara, CA This position reports to: Senior Director of Product Marketing ServiceNow is changing the way..."
Data Analyst - Wave,McKinsey & Company,"San Jose, CA",,"Additionally, you'll validate raw data quality and transform the data using MS Excel, perform quality checks on the data, and suggest improvements for data..."
Software Engineer - Machine Learning as a Service,"23andMe, Inc.","Mountain View, CA 94041",,"Collaborate with researchers, scientists, and other engineers. Experience with large scale data processing and query optimization...."
Product Scientist - Variant Curation,"23andMe, Inc.","Mountain View, CA 94041",,Curate clinical and functional data to support the inclusion of new variants in our genetic health reports. Are you fascinated by genetics and passionate about...
"Scientist, Population Genetics","23andMe, Inc.","Mountain View, CA 94041",,We are seeking a team member who is excited to glean insights from the genetic data of over three million 23andMe customers....
"Data Scientist, Manufacturing Analytics",Bosch Group,"Palo Alto, CA",,"Collaborate with other data scientist and data engineers to design, prioritize and implement new features for our AI platform to solve real customer problems...."
Applied Research Scientist (Deep Learning Algorithms),NVIDIA,"Santa Clara, CA",,We are now looking for an Applied Research Scientist (Deep Learning Algorithms):. We work with the major systems companies and every major cloud service...
Biocuration Scientist,Stanford University,"Stanford, CA 94305",,Experience with data quality assessment. This individual will be an essential project member who will identify genetic data from scientific articles concerning...
Research Scientist,Intel,"Santa Clara, CA 95052",,Visual data processing. This is an Intel contract employee (ICE) position....
Sr Data Scientist/ Research Technologist,Comcast,"Sunnyvale, CA 94089",,"To better serve our community, we believe the diversity of our team should reflect the diversity of our customers.Desired Qualifications- Bachelor's degree in..."
Data Science Manager- CSI OPTech - Data Science Manager,Facebook,"Menlo Park, CA",,"Build cross-functional relationships with Data Scientists, Product Managers and Software Engineers to understand CSI data needs and deliver on those needs...."
Data Science Manager,Facebook,"Menlo Park, CA",,"Build cross-functional relationships with Data Scientists, Product Managers and Software Engineers to understand data needs and deliver on those needs...."
Research Finance Analyst,Stanford University,"Stanford, CA 94305",,"The RFA will download and monitor reports supporting project status, interpret and communicate data. Research Finance Analyst, Classification F, 100% FTE, Non..."
"Software Engineer, Oculus Analytics",Facebook,"Menlo Park, CA",,"Build report interfaces and data feeds. Work closely with our PM, Analytics, and Data Engineering teams to define feature specifications and build the next..."
