position,company,location,salary,summary
"Platform Engineer, Fleet Analytics",Tesla Motors,"Palo Alto, CA",,Work with data engineers and data scientists to drive adoption of the platform. Have built and optimized Hadoop-based data platforms....
Senior Data Scientist,SAP,"Palo Alto, CA",,"Data Scientist - SAP Innovation Center Network. As a Data Scientist, you will work in a team of experience experienced researchers and data scientists taking on..."
Internship - Statistical Programming Intern (Summer Session),Acumen LLC,"Burlingame, CA 94010",,Data management techniques for working with large amounts of data. Data analysis workflow in a professional setting....
"Curriculum Developer, Deep Learning Institute",NVIDIA,"Santa Clara, CA",,"Developing effective curriculum and training content for data scientists, researchers, and engineers. The work involves collaborating with internal and external..."
Staff Business Data Analysis,Intuit,"Mountain View, CA 94039",,"We are seeking a Staff Analyst who will partner closely with Customer Success/Care leaders, product management, data engineering, data scientists and analysts..."
2018 Applied Scientist (Machine Learning),"A2Z Development Center, Inc.","Sunnyvale, CA",,"Experience with large data sets. PhD in Machine Learning, Data Mining, Statistics, Applied Mathematics, or a related field...."
"Product Manager, Terragraph",Facebook,"Menlo Park, CA",,"Facebook Product Managers work with teams of engineers, designers, and data scientists to bring products to market...."
Systems Engineer - Sensors Machine Learning,Qualcomm,"Santa Clara, CA",,"Collecting field test data, as needed for these activities. Performing algorithm development, debugging, verification, and parameter tuning with simulated and..."
Sr. Staff Data Scientist,Intellipro Group Inc.,"Santa Clara, CA 95050",,"We are seeking a highly motivated data scientist to work on log analytics, anomaly detection, and causal analysis...."
Junior Research Analyst - Americas Consumer,McKinsey & Company,"San Jose, CA",,You will manage internal data and support in the codification of knowledge. Bachelor Degree completed from a respected institution with strong records of...
"Data Scientist, Analytics",Facebook,"Menlo Park, CA",,We’re looking for Data Scientists to work on our core and business products (ex. Experience manipulating data sets through statistical software (ex....
Artificial Intelligence Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,"What does a AI Scientist at EA do? Our group develops AI and data driven solutions to game team. From data modeling to agent building, we utilize a modern,..."
Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Data Scientist,Burgeon IT Services,"Sunnyvale, CA",,"Experience with data visualisation tools, such as D3.js, GGplot, etc. Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,..."
Data Scientist,the Neura,"Sunnyvale, CA 94089",,"Bring a creative flair to complex problems (we have a lot of those), feel at home playing with rich large-scale data (Location:...."
Data Scientist,LumenData,"Santa Clara, CA 95054",,LumenData is looking for a Data Scientist to lead client engagements. That’s what makes the Data Scientist role at LumenData so fun and exciting!...
Data Scientist,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
Data Scientist,Proofpoint,"Sunnyvale, CA 94089",,"Must have been in the role of data scientist for at least 3 years. Mine data using state-of-the-art methods. Collect data, clean, visualize, build model, train,..."
Life Science Research Professional 2,Stanford University,"Stanford, CA 94305",,Comprehensive understanding of scientific principles including how to interpret behavioral and histologic data....
Data Engineer - A9 Sponsored Products,A9.com,"Palo Alto, CA",,"You’ll work with research scientists, data scientists and econometricians to understand innovative modeling techniques, and software engineers across a wide..."
Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Familiar with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning / data..."
Data Analyst - Wave,McKinsey & Company,"San Jose, CA",,"Additionally, you'll validate raw data quality and transform the data using MS Excel, perform quality checks on the data, and suggest improvements for data..."
Research Scientist,Tableau,"Palo Alto, CA",,"We help people see and understand their data. We are looking for creative computer scientists to join our research team in Palo Alto, CA and Seattle, WA...."
"Data Scientist, Data Center",Facebook,"Menlo Park, CA",,Leverage data and business principles to create and drive large scale FB Data Center programs. Experience using data access tools and building visualizations...
Machine Learning Engineer,Adobe,"San Jose, CA",,"Experience with Spark, big data processing, Hadoop. Work on machine learning algorithms, web services, distributed systems, data mining, big data, Hadoop, deep..."
Machine Learning Engineer,Cisco,"San Jose, CA",,"As a member of this data science team, you will work with data engineers, data analysts and business stakeholders in sales, marketing, IT and operations to..."
Machine Learning Engineer,"Faraday Future, Inc.","San Jose, CA",,"Build core data capabilities and services for cloud platform · Design, develop, and implement data solutions · Designing a flexible recommender system · Be an..."
Data Scientist/Machine Learning Research Engineer,Samsung SDS America,"San Jose, CA",,"Research and develop AI algorithms to process and interpret data, including visual, audio, text, and other structured and non-structured data, leading to..."
Physics Based Machine Learning Research Scientist,KLA-Tencor,"Milpitas, CA 95035",,Write production modeling code at scale for high data rate systems. Design and perform experimental data analysis to gain deep understanding of the problem....
Research Scientist,Tableau,"Palo Alto, CA",,"We help people see and understand their data. We are looking for creative computer scientists to join our research team in Palo Alto, CA and Seattle, WA...."
Quantitative Research Analyst – Fixed Income - Credit,Franklin Templeton Investments,"San Mateo, CA 94403 (Sugerloaf area)",,Using attribution data to provide feedback to current strategies. Quantitative Research Analyst – Fixed Income - Credit-820026....
Life Science Research Professional 2,Stanford University,"Stanford, CA 94305",,Comprehensive understanding of scientific principles including how to interpret behavioral and histologic data....
"Data Scientist, Data Center",Facebook,"Menlo Park, CA",,Leverage data and business principles to create and drive large scale FB Data Center programs. Experience using data access tools and building visualizations...
Machine Learning Research Scientist,Paypal,"San Jose, CA",,Prior work experience with big data preferred. The AI & Machine Learning R&D Team in PayPal is looking for talented applied research scientist to work on deep...
Data Scientist,Verizon,"Palo Alto, CA 94301 (Professorville area)",,Guiding a group of junior algorithm developers and data scientists with the best practices of software engineering....
Senior Data Scientist - Traffic Scenarios and Simulation,"Faraday Future, Inc.","San Jose, CA",,Familiarity with OpenDrive data format and and with HD maps - High-performance GPU programming - Programming experience with OpenGL - Prior work on high...
Data Scientist,Teradata,"Santa Clara, CA",,Collaborate with data science team to evaluate model and data. Teradata is seeking an experienced data scientist to join the Technology & Innovation Office....
Research & Development Scientist and Engineer 2,Stanford University,"Stanford, CA 94305",,The position involves working with a team of data scientists and engineers to examine pressing issues in public policy....
