position,company,location,salary,summary
Sr Manager - Model Risk Management,Charles Schwab,"Lone Tree, CO 80124",,"Manager will work with Data Scientists, Statisticians, and Analysts to ensure that all statistically based models are in compliance with the model lifecycle..."
STEM Manager,Goodwill Industries of Denver,"Denver, CO",,Monitors the quality of the data submitted through participation in monthly audits of their data with the Program Monitoring and Evaluation (PME) department....
"Sr Staff Scientist, R&D",DigitalGlobe,"Westminster, CO",,Experience with 3D and elevation data. Please review the job details below....
Associate Range Engineer (662328),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Industrial Engineer (661975),Ball Aerospace,"Westminster, CO",,"Identify and implement ways to automate data collection and analysis. Our team of more than 3,000 engineers, scientists, technicians and support staff drives..."
Associate Structural Engineer (661396),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Malware Threat Research Analyst,Webroot,"Broomfield, CO",,You are an information security/malware professional looking to contribute to an innovative and collaborative environment. You have a passion for the thrill...
"Sr Staff Scientist, R&D",DigitalGlobe,"Westminster, CO",,Experience with 3D and elevation data. Please review the job details below....
Malware Threat Research Analyst,Webroot,"Broomfield, CO",,You are an information security/malware professional looking to contribute to an innovative and collaborative environment. You have a passion for the thrill...
Associate Range Engineer (662328),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Industrial Engineer (661975),Ball Aerospace,"Westminster, CO",,"Identify and implement ways to automate data collection and analysis. Our team of more than 3,000 engineers, scientists, technicians and support staff drives..."
Associate Structural Engineer (661396),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Medical Technologist,"SCHRYVER MEDICAL, LLC","Denver, CO 80239",,Reviews and interprets laboratory results and data. Must be a registered or certified Medical Technologist or Clinical Laboratory Scientist or meet equivalency...
Global Commercial Senior Director Automotive,TransReach,"Golden, CO",,"Drives, and supports with data, internal decision making on long term growth investments including capital equipment and R&D programs...."
