position,company,location,salary,summary
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","Portland, OR","$130,000 - $140,000 a year","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership..."
Data & Analytics Senior Business Systems Analyst (4 openings),Info Group NW,"Beaverton, OR",,"Work with data engineers, data scientists and data product managers on optimal data structures for efficiency of analysis...."
"Senior Data Scientist: Yield Management - Portland, OR",Vacasa,"Portland, OR 97211 (Concordia area)",,Gather necessary data. We are seeking data scientists who are passionate about matching people with a great home base for their vacations....
Big Data SysOps Applications Lead / Integration Lead (2 positions),Info Group NW,"Beaverton, OR",,Big Data experience:. Deploying and supporting Data Governance and Data Aggregation tools. Our team supports Big Data cloud infrastructure systems for over 500...
Associate Scientist I,AbSci,"Vancouver, WA 98660 (Carter Park area)",,"Associate Scientist, Molecular Sciences. The Associate Scientist, under direction of Senior Scientists, will play a significant role in the further development..."
Platform Data Engineer,Info Group NW,"Beaverton, OR",,"Designing tables, schemas, etc. specific to allowing data scientists and researchers to query and analyze the data. Platform Data Engineer...."
Marketing Research Analyst,DUNTHORPE MARKETING GROUP,"Portland, OR 97202 (Reed area)",$12 an hour,You will then capture and maintain this data and ensure records are accurate. JOIN OUR TEAM!*....
Senior Data Scientist,Brainworks,"Portland, OR",,"Working with team of data scientists, delivery managers, and engineers. 3-7+ years of experience in Data Science...."
"Senior Analyst, Load Research (R17-196)",Portland General Electric,"Wilsonville, OR",,"Maintain large databases and data sets. Manipulate, transform and cleanse large data sets. Produce customer load profiles from hourly and higher frequency (e.g...."
Senior Data Scientist,Brainworks,"Portland, OR",,"Working with team of data scientists, delivery managers, and engineers. 3-7+ years of experience in Data Science...."
Team Lead Software Engineer: Yield Management,Vacasa,"Portland, OR 97211 (Concordia area)",,"Experience with Data Science and/or working with Data Scientists. Interest in data science problems, and a basic knowledge of key data science concepts...."
Senior R & D Branded Scientist,PointOne Recruiting,"Portland, OR","$92,000 - $115,000 a year",Senior R &D Branded Scientist - Oregon*. Scientist provides statistical information for product development by identifying testing methods & samples for our...
Project Engineer,Bodycote,"Camas, WA 98607",,"Manual dexterity to perform data entry functions. As the world’s largest provider of thermal processing services, Bodycote employs thousands of highly skilled..."
Maintenance Manager,Bodycote,"Camas, WA 98607",,"Must be able to work in a sitting position for extended periods of time (at desk, while driving, and/or on airplane travel) in an office/industrial environment..."
Chief Medical/Scientific Officer,Acumen Executive Search,"Lake Oswego, OR 97035",,Clinical Data translation is critical. Professionally handle and protect sensitive test data. Have experience establishing clinical data strategy and...
