position,company,location,salary,summary
Data Scientist,the Neura,"Sunnyvale, CA 94089",,"Bring a creative flair to complex problems (we have a lot of those), feel at home playing with rich large-scale data (Location:...."
Data Scientist,LumenData,"Santa Clara, CA 95054",,LumenData is looking for a Data Scientist to lead client engagements. That’s what makes the Data Scientist role at LumenData so fun and exciting!...
Data Scientist,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
Data Scientist,Proofpoint,"Sunnyvale, CA 94089",,"Must have been in the role of data scientist for at least 3 years. Mine data using state-of-the-art methods. Collect data, clean, visualize, build model, train,..."
Data Scientist,"PARC, a Xerox company","Palo Alto, CA",,Data Scientist in Systems Analytics. Data Scientist to join an interdisciplinary team developing innovative applications. Data wrangling skills:....
Data Scientist,MachineZone,"Palo Alto, CA",,"Familiar with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning / data..."
Senior Data Analyst,Intellipro Group Inc.,"Mountain View, CA 94040",,3-5 years of experience in a data analyst or data scientist role. Senior Data Analyst. Hands on experience with data visualization and data visualization tools....
Junior Research Analyst - Americas Consumer,McKinsey & Company,"San Jose, CA",,You will manage internal data and support in the codification of knowledge. Bachelor Degree completed from a respected institution with strong records of...
Machine Learning Engineer (REF 20170417JK),"Striim, Inc.","Palo Alto, CA",,"Unsupervised learning, inference, data mining, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar...."
Senior Data Scientist,Intapp,"Palo Alto, CA","Estimated salary: $148,000 - $189,000 a year","Senior Data Scientist. Help build and lead a small team of Data Scientists. In this cross-functional role, you will be the first Data Scientist at our..."
Senior Data Scientist,MachineZone,"Palo Alto, CA","Estimated salary: $121,000 - $155,000 a year","Proficient with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning /..."
Senior Data Scientist,Intuit,"Mountain View, CA 94039",,"Develop solutions to improve data quality and usability, provide analysis on different level of data aggregations, and make judgmental decision on data..."
Senior Data Scientist,Mozilla,"Mountain View, CA 94041",,"As a Senior Data Scientist at Mozilla. As a Senior Data Scientist, you will be a member of the product development organization...."
Staff Engineer - Machine Learning,Intuit,"Mountain View, CA 94039",,Main differences with Data Scientists. More data exploration less database data modeling. Knowledge of data query and data processing tools (i.e....
FinTech Research Analyst,Andreessen Horowitz,"Menlo Park, CA",,"Find promising companies to invest in using data, social signals, research, etc. Help discover all the data points we need to feed into our decision-making..."
Data Analyst - Wave,McKinsey & Company,"San Jose, CA",,"Additionally, you'll validate raw data quality and transform the data using MS Excel, perform quality checks on the data, and suggest improvements for data..."
"Platform Engineer, Fleet Analytics",Tesla Motors,"Palo Alto, CA",,Work with data engineers and data scientists to drive adoption of the platform. Have built and optimized Hadoop-based data platforms....
Sr. Data Scientist,YuMe,"Redwood City, CA 94063",,Join YuMe as a data scientist to be part of our efforts to build cutting edge digital advertising and marketing solutions....
Senior Data Scientist,SAP,"Palo Alto, CA",,"Data Scientist - SAP Innovation Center Network. As a Data Scientist, you will work in a team of experience experienced researchers and data scientists taking on..."
Sr. Data Scientist,Symantec,"Mountain View, CA",,"Qualifications Familiarity with one or more of Hive (preferred), Spark, Map Reduce highly desirable AWS Stack experience Redshift, Athena etc. preferred..."
Machine Learning Engineer,Automation Anywhere,"San Jose, CA 95131 (North Valley area)",,The Cognitive Engineering team is made up of engineers and data scientists intensely focused on the problem of analyzing image documents....
"Product Manager, Terragraph",Facebook,"Menlo Park, CA",,"Facebook Product Managers work with teams of engineers, designers, and data scientists to bring products to market...."
Machine Learning/Deep Learning Engineer (Intern),"Samsung Semiconductor, Inc.","San Jose, CA",,"DSA31390 Samsung SoC R&D; Lab in San Diego is seeking a talented, highly motivated individual to join our team as an intern for the summer of 2018. In this..."
Machine Learning Engineer,Adobe,"San Jose, CA",,"Experience with Spark, big data processing, Hadoop. Work on machine learning algorithms, web services, distributed systems, data mining, big data, Hadoop, deep..."
Machine Learning Engineer,Cisco,"San Jose, CA",,"As a member of this data science team, you will work with data engineers, data analysts and business stakeholders in sales, marketing, IT and operations to..."
Data Scientist,Treselle Software,"Campbell, CA",,"Good experience in developing algorithms, data modeling, investigating patterns of data and data visualization...."
Data Scientist,NVIDIA,"Santa Clara, CA",,"Mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior...."
Data Scientist,Huawei,"Santa Clara, CA",,"Help to evolve large scale Big Data platform and tools in all aspects, from data collection to data processing, exploration, visualization and modeling...."
"Data Scientist, Analytics",Facebook,"Menlo Park, CA",,We’re looking for Data Scientists to work on our core and business products (ex. Experience manipulating data sets through statistical software (ex....
Machine Learning Engineer,Adobe,"San Jose, CA",,"Experience with Spark, big data processing, Hadoop. Work on machine learning algorithms, web services, distributed systems, data mining, big data, Hadoop, deep..."
Machine Learning Engineer,Cisco,"San Jose, CA",,"As a member of this data science team, you will work with data engineers, data analysts and business stakeholders in sales, marketing, IT and operations to..."
Machine Learning Engineer,"Faraday Future, Inc.","San Jose, CA",,"Build core data capabilities and services for cloud platform · Design, develop, and implement data solutions · Designing a flexible recommender system · Be an..."
Machine Learning/Deep Learning Engineer (Intern),"Samsung Semiconductor, Inc.","San Jose, CA",,"DSA31390 Samsung SoC R&D; Lab in San Diego is seeking a talented, highly motivated individual to join our team as an intern for the summer of 2018. In this..."
"Big Data Developer (Spark,Kafka, Machine Learning) - WebEx Data Platform",Cisco,"San Jose, CA",,Data governance - experienced in developing and integrating software allowing for flexible and scalable data transformation with data quality controls....
Applied Research Scientist (Deep Learning Algorithms),NVIDIA,"Santa Clara, CA",,We are now looking for an Applied Research Scientist (Deep Learning Algorithms):. We work with the major systems companies and every major cloud service...
Sr Data Analyst – VUDU,Walmart eCommerce,"Sunnyvale, CA",,"Sr Data Analyst – VUDU. Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to..."
